user_id,product_id,interaction_type,timestamp,session_id,device_type,duration_seconds,rating
user_00006,prod_00221,view,2026-02-07 12:35:17,sess_920aef33,mobile,133,
user_00142,prod_00180,like,2025-11-28 12:35:17,sess_2490c35c,mobile,49,
user_00731,prod_00139,like,2026-01-28 12:35:17,sess_774a75bd,desktop,117,
user_00033,prod_00243,view,2025-11-13 12:35:17,sess_ac7d8cc4,tablet,202,
user_00433,prod_00205,like,2026-01-16 12:35:17,sess_a0b26940,tablet,228,
user_00696,prod_00449,cart,2026-01-13 12:35:17,sess_9387dec5,desktop,74,
user_00427,prod_00284,view,2026-01-28 12:35:17,sess_7ba605c2,desktop,295,
user_00950,prod_00322,view,2025-12-21 12:35:17,sess_f3cf718d,desktop,54,
user_00142,prod_00270,view,2025-12-05 12:35:17,sess_ca849f1b,tablet,188,
user_00480,prod_00182,view,2025-12-17 12:35:17,sess_7126a7ee,desktop,19,
user_00935,prod_00287,like,2025-11-21 12:35:17,sess_4935a113,desktop,129,
user_00595,prod_00263,view,2025-11-30 12:35:17,sess_a68376c8,tablet,155,
user_00055,prod_00387,view,2025-11-14 12:35:17,sess_170bf22b,mobile,241,
user_00827,prod_00391,cart,2026-01-04 12:35:17,sess_7749ff7e,tablet,59,
user_00342,prod_00305,like,2026-01-31 12:35:17,sess_6bcfc46f,mobile,266,
user_00758,prod_00368,like,2025-12-06 12:35:17,sess_8c252c99,mobile,119,
user_00917,prod_00346,view,2025-12-30 12:35:17,sess_274a19c9,tablet,8,
user_00825,prod_00249,view,2026-02-07 12:35:17,sess_8d4e3ee4,mobile,66,
user_00533,prod_00050,view,2025-12-09 12:35:17,sess_8ca0b99a,mobile,263,
user_00455,prod_00201,like,2026-01-15 12:35:17,sess_f02853f0,mobile,284,
user_00267,prod_00421,like,2025-11-18 12:35:17,sess_454ace84,mobile,99,
user_00146,prod_00420,view,2025-11-10 12:35:17,sess_4742cd3a,tablet,107,
user_00488,prod_00246,view,2026-01-26 12:35:17,sess_f46f3e58,tablet,257,
user_00377,prod_00342,view,2025-11-10 12:35:17,sess_46c914a8,mobile,242,
user_00427,prod_00417,view,2026-01-02 12:35:17,sess_959ff5a7,desktop,66,
user_00578,prod_00200,view,2026-02-03 12:35:17,sess_ed1a8245,tablet,232,
user_00044,prod_00465,like,2026-01-03 12:35:17,sess_f67b5b3c,mobile,86,
user_00367,prod_00257,view,2025-11-09 12:35:17,sess_f7525e38,tablet,204,
user_00526,prod_00033,view,2025-12-24 12:35:17,sess_f07eccd0,tablet,293,
user_00348,prod_00236,view,2025-11-15 12:35:17,sess_ba0cc9ed,desktop,206,
user_00070,prod_00470,view,2025-12-09 12:35:17,sess_1346967c,tablet,97,
user_00590,prod_00363,view,2025-12-28 12:35:17,sess_2680bb48,tablet,183,
user_00599,prod_00317,view,2026-02-04 12:35:17,sess_a3d8ba0d,tablet,86,
user_00238,prod_00050,view,2025-11-13 12:35:17,sess_602222c8,desktop,170,
user_00779,prod_00119,view,2026-01-16 12:35:17,sess_e1486f4d,tablet,201,
user_00774,prod_00499,cart,2026-01-06 12:35:17,sess_2316a549,mobile,24,
